<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170104,15:30,175.7900000,175.8600000,175.1500000,175.5700000,620160
SBER,10,20170104,15:40,175.5600000,175.5900000,175.2000000,175.4000000,294020
SBER,10,20170104,15:50,175.3500000,175.4500000,175.0300000,175.3400000,280290
SBER,10,20170104,16:00,175.3100000,175.8600000,175.0300000,175.7000000,392730
SBER,10,20170104,16:10,175.7200000,175.8700000,175.3700000,175.7900000,280940
SBER,10,20170104,16:20,175.7900000,175.9700000,175.5100000,175.5800000,809770
SBER,10,20170104,16:30,175.5800000,175.7100000,175.5300000,175.5600000,302020
SBER,10,20170104,16:40,175.6000000,175.7500000,175.2200000,175.6000000,184840
SBER,10,20170104,16:50,175.5600000,175.6500000,175.3200000,175.6100000,301000
SBER,10,20170104,17:00,175.5500000,175.7500000,175.3300000,175.7400000,256620
SBER,10,20170104,17:10,175.6800000,175.7900000,175.3700000,175.4600000,187980
SBER,10,20170104,17:20,175.5300000,175.6800000,175.3700000,175.4300000,177860
SBER,10,20170104,17:30,175.5600000,176.1500000,175.4500000,175.7900000,1230170
SBER,10,20170104,17:40,175.7500000,176.3600000,175.5300000,176.2600000,1118460
SBER,10,20170104,17:50,176.2500000,176.3700000,175.7700000,176.2400000,807980
SBER,10,20170104,18:00,176.2500000,176.6200000,176.0700000,176.3400000,1375830
SBER,10,20170104,18:10,176.3400000,176.3600000,175.8300000,175.9900000,791820
SBER,10,20170104,18:20,175.9100000,176.0300000,175.5100000,175.6500000,1018970
SBER,10,20170104,18:30,175.6300000,175.7500000,175.3300000,175.4900000,1735440
SBER,10,20170104,18:40,175.9500000,175.9500000,175.9500000,175.9500000,869730
SBER,10,20170105,10:00,176.3200000,177.0000000,175.7800000,175.8800000,1283560
SBER,10,20170105,10:10,175.9000000,176.2200000,175.7000000,176.2200000,474790
SBER,10,20170105,10:20,176.2200000,176.9600000,176.2000000,176.6000000,801730
SBER,10,20170105,10:30,176.6600000,177.2800000,176.5600000,177.0200000,1136510
SBER,10,20170105,10:40,177.0200000,177.2500000,176.5400000,176.7500000,482190
SBER,10,20170105,10:50,176.7800000,176.8800000,176.3500000,176.4000000,322890
SBER,10,20170105,11:00,176.3500000,176.5500000,175.5000000,175.7800000,1748210
SBER,10,20170105,11:10,175.7800000,176.2500000,175.6500000,175.7800000,484420
SBER,10,20170105,11:20,175.7300000,176.2300000,175.5600000,175.9800000,515890
SBER,10,20170105,11:30,175.9700000,176.0000000,175.7200000,175.9100000,240700
SBER,10,20170105,11:40,175.9500000,176.1600000,175.7700000,175.8300000,161820
SBER,10,20170105,11:50,175.8400000,176.2900000,175.8100000,175.9600000,257070
SBER,10,20170105,12:00,176.0000000,176.1500000,175.1200000,175.2000000,908660
SBER,10,20170105,12:10,175.2000000,175.4000000,175.1200000,175.3700000,514130
SBER,10,20170105,12:20,175.3400000,175.7500000,175.1200000,175.2700000,356960
SBER,10,20170105,12:30,175.3000000,175.4000000,174.9600000,175.2400000,845260
SBER,10,20170105,12:40,175.2400000,175.6400000,174.9700000,175.5100000,368660
SBER,10,20170105,12:50,175.4900000,175.6900000,175.4000000,175.6700000,400610
SBER,10,20170105,13:00,175.6400000,175.8400000,175.2400000,175.4500000,567670
SBER,10,20170105,13:10,175.5000000,175.8300000,175.4500000,175.5100000,195810
SBER,10,20170105,13:20,175.5000000,175.5000000,175.1800000,175.2900000,130540
SBER,10,20170105,13:30,175.2900000,175.3900000,175.1800000,175.2800000,147570
SBER,10,20170105,13:40,175.2700000,175.4200000,175.2000000,175.2200000,187550
SBER,10,20170105,13:50,175.2500000,175.3300000,174.5300000,175.0400000,920180
SBER,10,20170105,14:00,175.0100000,175.1000000,174.6100000,174.7700000,608250
SBER,10,20170105,14:10,174.7700000,174.8200000,174.0300000,174.0400000,1155410
SBER,10,20170105,14:20,174.0300000,174.4400000,173.8300000,174.4400000,764790
SBER,10,20170105,14:30,174.4200000,174.4200000,173.9000000,173.9000000,660610
SBER,10,20170105,14:40,173.9000000,174.2700000,173.8600000,174.0400000,750850
SBER,10,20170105,14:50,174.0400000,174.3300000,173.7100000,174.3100000,746080
SBER,10,20170105,15:00,174.2700000,174.3800000,173.8500000,174.0900000,439090
SBER,10,20170105,15:10,174.0500000,174.1200000,173.6800000,173.8400000,300980
SBER,10,20170105,15:20,173.8700000,174.1000000,173.7100000,174.0500000,255890
SBER,10,20170105,15:30,174.1000000,174.1300000,173.9000000,174.0000000,201410
SBER,10,20170105,15:40,174.0000000,174.3500000,173.9500000,174.2700000,765830
SBER,10,20170105,15:50,174.2600000,174.2600000,173.9100000,173.9600000,329240
SBER,10,20170105,16:00,173.9700000,174.1700000,173.9000000,173.9100000,293330
SBER,10,20170105,16:10,173.9000000,174.0000000,173.1200000,173.2200000,1358800
SBER,10,20170105,16:20,173.2200000,173.5800000,173.1600000,173.5600000,374040
SBER,10,20170105,16:30,173.5600000,173.5700000,173.0500000,173.2200000,486680
SBER,10,20170105,16:40,173.2300000,173.6800000,173.0000000,173.1200000,572850
SBER,10,20170105,16:50,173.1200000,173.3900000,173.0000000,173.0900000,478450
SBER,10,20170105,17:00,173.0700000,173.2400000,172.4300000,172.5100000,1250820
SBER,10,20170105,17:10,172.5100000,172.5900000,172.0800000,172.1400000,621850
SBER,10,20170105,17:20,172.1000000,172.2500000,171.6200000,172.1600000,1242560
SBER,10,20170105,17:30,172.1100000,172.1400000,171.6600000,171.8700000,509050
SBER,10,20170105,17:40,171.8700000,172.6500000,171.7700000,172.2900000,960160
SBER,10,20170105,17:50,172.3000000,172.4500000,171.7200000,171.8600000,890070
SBER,10,20170105,18:00,171.8600000,172.1000000,171.7300000,171.8300000,576750
